2021-03-14 17:10:17.794392,2021-03-14 17:11:53.043901,0:01:35.249509,0:01:35.249509
2021-03-14 17:13:35.524420,2021-03-14 17:13:39.034609,0:00:03.510189,0:01:38.759698
2021-03-14 17:13:50.458846,2021-03-14 17:14:10.960984,0:00:20.502138,0:01:59.261836
2021-03-14 17:14:21.563120,2021-03-14 17:31:20.110136,0:16:58.547016,0:18:57.808852
2021-03-16 14:07:39.514854,2021-03-16 14:09:08.519627,0:01:29.004773,0:20:26.813625
2021-03-16 14:09:11.040928,2021-03-16 15:03:27.633610,0:54:16.592682,1:14:43.406307
2021-03-16 15:03:29.879650,2021-03-16 15:03:40.320639,0:00:10.440989,1:14:53.847296
2021-03-16 15:03:41.859037,2021-03-16 16:06:45.741643,1:03:03.882606,2:17:57.729902
2021-03-16 23:50:48.565592,2021-03-17 01:12:20.292033,1:21:31.726441,3:39:29.456343
2021-03-18 00:22:36.493720,2021-03-18 00:51:06.853092,0:28:30.359372,4:07:59.815715
2021-03-18 00:51:12.165592,2021-03-18 01:47:49.018161,0:56:36.852569,5:04:36.668284
2021-03-18 20:25:50.075073,2021-03-18 21:37:31.340703,1:11:41.265630,6:16:17.933914
2021-03-22 18:53:39.794953,2021-03-22 20:35:53.248081,1:42:13.453128,7:58:31.387042
2021-03-22 20:36:03.419953,2021-03-23 00:09:51.776638,3:33:48.356685,11:32:19.743727
2021-03-23 00:09:54.479758,2021-03-23 00:41:01.979763,0:31:07.500005,12:03:27.243732
2021-03-23 00:41:18.229762,2021-03-23 01:49:14.198507,1:07:55.968745,13:11:23.212477
2021-03-23 20:08:03.826332,2021-03-23 21:38:29.482587,1:30:25.656255,14:41:48.868732
2021-03-23 21:38:34.107588,2021-03-24 00:05:18.795082,2:26:44.687494,17:08:33.556226
2021-03-28 22:22:59.895085,2021-03-28 22:49:54.988835,0:26:55.093750,17:35:28.649976
2021-03-29 17:40:15.699784,2021-03-29 18:44:58.614930,1:04:42.915146,18:40:11.565122
2021-03-29 19:55:09.068494,2021-03-29 21:20:59.320294,1:25:50.251800,20:06:01.816922
2021-04-01 17:22:25.195984,2021-04-01 17:22:56.368142,0:00:31.172158,20:06:32.989080
2021-04-01 17:23:00.727558,2021-04-01 18:31:58.491747,1:08:57.764189,21:15:30.753269
