2021-03-14 15:41:43.226018,2021-03-14 16:19:30.947288,0:37:47.721270,0:37:47.721270
2021-03-14 16:19:36.532950,2021-03-14 17:05:59.735882,0:46:23.202932,1:24:10.924202
2021-03-14 17:06:09.820546,2021-03-14 17:06:38.651230,0:00:28.830684,1:24:39.754886
2021-03-14 19:42:58.255003,2021-03-14 19:45:30.323177,0:02:32.068174,1:27:11.823060
2021-03-14 21:11:14.985606,2021-03-15 01:10:51.722308,3:59:36.736702,5:26:48.559762
2021-03-15 20:56:33.615741,2021-03-16 00:53:55.871672,3:57:22.255931,9:24:10.815693
2021-03-16 16:06:54.229347,2021-03-16 17:50:16.958754,1:43:22.729407,11:07:33.545100
2021-03-16 19:08:11.772252,2021-03-16 19:45:08.425684,0:36:56.653432,11:44:30.198532
2021-03-16 19:45:24.797060,2021-03-16 19:46:15.559710,0:00:50.762650,11:45:20.961182
2021-03-16 20:35:00.482839,2021-03-17 01:12:29.789661,4:37:29.306822,16:22:50.268004
2021-03-17 16:45:43.585452,2021-03-17 16:57:35.677369,0:11:52.091917,16:34:42.359921
