Server,Channel,Join Time,Leave Time,TimeDif,Toltal Accumulative
Brian,General,2021-08-27 12:10:44.659141,2021-08-27 12:10:46.660361,0:00:02.001220,0:03:21.451131
Brian,General,2021-08-27 12:11:33.224880,2021-08-27 12:11:36.181421,0:00:02.956541,0:03:24.407672
