2021-03-14 15:41:08.444232,2021-03-14 15:41:20.347192,0:00:11.902960,0:00:11.902960
2021-03-14 15:41:20.357201,2021-03-14 16:01:53.396096,0:20:33.038895,0:20:44.941855
2021-03-14 16:02:03.124060,2021-03-14 16:02:03.124060,0:00:00,0:20:44.941855
2021-03-14 16:02:03.124060,2021-03-14 17:20:56.224792,1:18:53.100732,1:39:38.042587
2021-03-14 17:21:01.183297,2021-03-14 17:31:16.940878,0:10:15.757581,1:49:53.800168
2021-03-14 17:31:39.240928,2021-03-14 17:36:19.170518,0:04:39.929590,1:54:33.729758
2021-03-14 17:37:15.224853,2021-03-14 23:26:34.662466,5:49:19.437613,7:43:53.167371
2021-03-14 23:26:52.906082,2021-03-14 23:34:20.677934,0:07:27.771852,7:51:20.939223
2021-03-15 20:34:33.767719,2021-03-15 21:57:56.920457,1:23:23.152738,9:14:44.091961
2021-03-16 15:45:57.640481,2021-03-16 18:07:14.200873,2:21:16.560392,11:36:00.652353
2021-03-16 18:07:14.209881,2021-03-16 22:25:40.888448,4:18:26.678567,15:54:27.330920
2021-03-17 16:18:13.231180,2021-03-17 20:10:00.731118,3:51:47.499938,19:46:14.830858
2021-03-17 16:18:13.231180,2021-03-17 22:26:34.884342,6:08:21.653162,"1 day, 1:54:36.484020"
2021-03-17 22:29:34.681217,2021-03-17 22:32:35.853093,0:03:01.171876,"1 day, 1:57:37.655896"
2021-03-17 22:32:35.853093,2021-03-17 23:25:59.243718,0:53:23.390625,"1 day, 2:51:01.046521"
2021-03-18 13:46:51.096285,2021-03-18 14:02:17.221286,0:15:26.125001,"1 day, 3:06:27.171522"
2021-03-18 14:25:20.643161,2021-03-18 15:32:29.158785,1:07:08.515624,"1 day, 4:13:35.687146"
2021-03-18 17:04:35.174411,2021-03-18 17:07:14.268160,0:02:39.093749,"1 day, 4:16:14.780895"
2021-03-18 17:07:16.471285,2021-03-18 17:28:07.762832,0:20:51.291547,"1 day, 4:37:06.072442"
2021-03-18 17:57:39.668824,2021-03-18 18:19:03.059448,0:21:23.390624,"1 day, 4:58:29.463066"
2021-03-18 21:01:07.231324,2021-03-18 23:23:00.872835,2:21:53.641511,"1 day, 7:20:23.104577"
2021-03-19 17:33:53.750292,2021-03-19 18:05:26.000292,0:31:32.250000,"1 day, 7:51:55.354577"
2021-03-19 23:25:27.703417,2021-03-19 23:25:43.062791,0:00:15.359374,"1 day, 7:52:10.713951"
2021-03-22 16:07:52.553793,2021-03-22 16:14:45.303790,0:06:52.749997,"1 day, 7:59:03.463948"
2021-03-22 21:15:48.873083,2021-03-22 21:40:19.482453,0:24:30.609370,"1 day, 8:23:34.073318"
2021-03-22 22:43:09.107459,2021-03-23 00:33:38.917257,1:50:29.809798,"1 day, 10:14:03.883116"
2021-03-23 17:14:25.141454,2021-03-23 18:23:03.844578,1:08:38.703124,"1 day, 11:22:42.586240"
2021-03-23 18:23:05.703953,2021-03-23 18:23:08.828950,0:00:03.124997,"1 day, 11:22:45.711237"
2021-03-23 21:10:32.123213,2021-03-23 23:39:35.716957,2:29:03.593744,"1 day, 13:51:49.304981"
2021-03-23 23:40:20.982583,2021-03-24 00:30:10.248208,0:49:49.265625,"1 day, 14:41:38.570606"
2021-03-28 21:34:59.457584,2021-03-28 21:38:03.770086,0:03:04.312502,"1 day, 14:44:42.883108"
2021-03-29 18:58:24.351238,2021-03-29 19:01:06.086003,0:02:41.734765,"1 day, 14:47:24.617873"
2021-03-29 19:54:03.088283,2021-03-29 20:44:37.644025,0:50:34.555742,"1 day, 15:37:59.173615"
2021-03-29 20:53:04.077801,2021-03-29 23:47:26.895464,2:54:22.817663,"1 day, 18:32:21.991278"
2021-04-01 21:51:13.852210,2021-04-01 23:43:59.019898,1:52:45.167688,"1 day, 20:25:07.158966"
2021-04-01 23:44:22.145329,2021-04-01 23:46:08.850438,0:01:46.705109,"1 day, 20:26:53.864075"
2021-04-01 23:46:13.803655,2021-04-01 23:54:56.016493,0:08:42.212838,"1 day, 20:35:36.076913"
2021-04-01 23:54:59.735313,2021-04-01 23:55:44.704898,0:00:44.969585,"1 day, 20:36:21.046498"
2021-04-02 18:08:36.213545,2021-04-03 00:03:52.047265,5:55:15.833720,"2 days, 2:31:36.880218"
2021-04-03 12:53:39.335053,2021-04-03 13:01:51.263733,0:08:11.928680,"2 days, 2:39:48.808898"
2021-04-05 21:49:26.332557,2021-04-05 21:51:26.630454,0:02:00.297897,"1 day, 23:55:09.106795"
2021-04-05 21:51:26.755458,2021-04-05 22:51:41.270944,1:00:14.515486,"2 days, 0:55:23.622281"
2021-04-05 22:51:44.927224,2021-04-06 00:15:36.775781,1:23:51.848557,"2 days, 2:19:15.470838"
2021-04-06 17:53:01.482050,2021-04-06 18:00:24.891227,0:07:23.409177,"2 days, 2:26:38.880015"
2021-04-06 18:00:25.969360,2021-04-06 18:18:20.101449,0:17:54.132089,"2 days, 2:44:33.012104"
2021-04-06 18:18:21.023331,2021-04-06 21:43:18.997598,3:24:57.974267,"2 days, 6:09:30.986371"
2021-04-07 20:19:36.282073,2021-04-07 20:19:52.516578,0:00:16.234505,"2 days, 6:09:47.220876"
2021-04-07 20:19:53.641587,2021-04-07 20:19:55.610352,0:00:01.968765,"2 days, 6:09:49.189641"
2021-04-07 20:24:47.581438,2021-04-07 20:46:22.279016,0:21:34.697578,"2 days, 6:31:23.887219"
2021-04-07 22:21:36.152846,2021-04-08 00:59:23.317850,2:37:47.165004,"2 days, 9:09:11.052223"
2021-04-08 20:34:50.386545,2021-04-08 20:37:45.498284,0:02:55.111739,"2 days, 9:12:06.163962"
2021-04-08 20:37:45.545160,2021-04-08 20:37:52.639006,0:00:07.093846,"2 days, 9:12:13.257808"
2021-04-08 20:37:52.654634,2021-04-08 20:40:03.453271,0:02:10.798637,"2 days, 9:14:24.056445"
2021-04-08 20:40:03.484527,2021-04-08 20:52:14.228762,0:12:10.744235,"2 days, 9:26:34.800680"
2021-04-08 20:57:58.467784,2021-04-08 20:58:37.062055,0:00:38.594271,"2 days, 9:27:13.394951"
2021-04-09 19:24:17.947626,2021-04-09 21:15:45.802610,1:51:27.854984,"2 days, 11:18:41.249935"
2021-04-09 21:15:52.193519,2021-04-09 21:16:14.085118,0:00:21.891599,"2 days, 11:19:03.141534"
2021-04-09 21:17:30.885411,2021-04-09 23:09:33.578032,1:52:02.692621,"2 days, 13:11:05.834155"
2021-04-10 12:56:50.523718,2021-04-10 13:36:13.008468,0:39:22.484750,"2 days, 13:50:28.318905"
2021-04-10 18:41:22.108427,2021-04-10 18:43:28.375724,0:02:06.267297,"2 days, 13:52:34.586202"
2021-04-10 18:43:28.406972,2021-04-10 20:17:03.167358,1:33:34.760386,"2 days, 15:26:09.346588"
2021-04-10 20:17:06.854889,2021-04-10 20:31:36.315666,0:14:29.460777,"2 days, 15:40:38.807365"
2021-04-10 20:32:47.988172,2021-04-10 22:07:36.375135,1:34:48.386963,"2 days, 17:15:27.194328"
2021-04-11 19:40:42.272264,2021-04-11 20:46:38.488073,1:05:56.215809,"2 days, 18:21:23.410137"
2021-04-11 20:46:39.456841,2021-04-11 20:56:47.171393,0:10:07.714552,"2 days, 18:31:31.124689"
